nombre,clave,semestre,horas practica,horas teoria
PROBABILIDAD Y ESTADISTICA,AEF-1052,2,3,2
ESTRUCTURA DE DATOS,AED-1026,3,2,3
LENGUAJES Y AUTOMATAS I,SCD-1015,6,2,3
DISEÑO Y ANALISIS DE ALGORITMOS,IOC-2001,7,2,2
LENGUAJES Y AUTOMATAS II,SCD-1016,7,2,3
DESARROLLO SUSTENTABLE,ACD-0908,5,2,3
TALLER DE INVESTIGACION I,ACA-0909,7,0,4
LENGUALES Y AUTOMATAS II,SCD-1016,7,2,3
CALCULO VECTORIAL,ACF-0904,3,3,2
SIMULACION,SCD-1022,5,2,3
COMPUTO EN LA NUBE,IOC-2004,8,2,3
INTELIGENCIA ARTIFICIAL,SCC-1012,9,2,2
GRAFICACION,SCC-1010,8,2,2
CIBERSEGURIDAD,IOC-2003,8,2,2
PROGRAMACION ORIENTADA A OBJETOS,SCD-1020,2,2,3
ARQUITECTURA DE COMPUTADORAS,SCD-1003,5,2,3
CALCULO INTEGRAL,ACF-0902,2,3,2
LENGUAJES DE INTERFAZ,SCC-1014,6,2,2
SISTEMAS PROGRAMABLES,SCC-1023,7,2,2
CONTABILIDAD FINANCIERA,AEC-1008,2,2,2
APLICACIONES DIGITALES,SCD-1018,4,2,3
MATEMATICAS DISCRETAS,AEF-1041,1,3,2
SISTEMAS OPERATIVOS,AEC-1061,3,2,2
TALLER DE SISTEMAS OPERATIVOS,SCA-1026,4,0,4
TOPICOS AVANZADOS DE PROGRAMACION,SCD-1027,4,2,3
FUNDAMENTOS DE INGENIERIA DE SOFTWARE,SCC-1007,5,2,2
GESTION DE PROYECTOS DE SOFTWARE,SCG-1009,7,3,3
PROGRAMACION LOGICA Y FUNCIONAL,SCC-1019,8,2,2
ALGEBRA LINEAL,ACF-0903,2,3,2
CULTURA EMPRESARIAL,SCC-1005,3,2,2
TALLER DE ADMINISTRACION,SCH-1024,1,1,3
TALLER DE ETICA,ACA-0907,1,0,4
FUNDAMENTOS DE TELECOMUNICACIONES,AEC-1034,5,2,2
CONMUTACION Y ENRUTAMIENTO DE DATOS,SCD-1004,7,2,3
INVESTIGACION DE OPERACIONES,SCC-1013,3,2,2
ADMINISTRACION DE BASE DE DATOS,SCB-1001,6,1,4
INGENIERIA DE SOFTWARE,SCD-1011,6,2,3
TALLER DE INVESTIGACION II,ACA-0910,8,0,4
HABILIDADES SOCIALES Y TECNOLOGICAS,IDQ-2106,9,1,2
QUIMICA,AEC-1058,2,2,2
BIG DATA,IOC-2005,8,2,2
PROGRAMACION WEB,AEB-1055,6,1,4
CALCULO DIFERENCIAL,ACF-0901,1,3,2
ECUACIONES DIFERENCIALES,ACF-0905,4,3,2
METODOS NUMERICOS,SCC-1017,4,2,2
REDES DE COMPUTADORAS,SCD-1021,6,2,3
ADMINISTRACION DE REDES,SCA-1002,8,0,4
APLICACIONES DE INTERNET DE LAS COSAS (IoT),IOC-2002,7,1,4
FUNDAMENTOS DE INVESTIGACION,ACC-0906,1,2,2
TALLER DE BASE DE DATOS,SCA-1025,5,0,4
FUNDAMENTOS DE PROGRAMACION,SCD-1008,1,2,3
FUNDAMENTOS DE BASE DE DATOS,AEF-1031,4,3,2
FISICA GENERAL,SCF-1006,3,3,2
